ID,Condition,RunPosition,Globality,StimuliType,RunType,Critdatpoint,RT_Mu,RT_Sigma,RT_n,RT_SE
18,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,345.3,88.62285555270599,20,19.816672937599527
18,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,321.5,91.06995575987321,20,20.3638611786975
18,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,401.45,91.74878458968386,20,20.515651919551825
18,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,354.7,137.54888126350613,20,30.756864873424686
18,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,424.8,178.93003631234427,20,40.00997244109076
18,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,357.95,162.02484377403363,20,36.22985647225227
18,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,541.35,237.9905515594662,20,53.2163051289635
18,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,350.3,202.18154947316143,20,45.209168841822574
19,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,273.1,140.73263190962686,20,31.468773160238168
19,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,210.65,129.43898176360938,20,28.94343621617862
19,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,276.9,137.8053165271859,20,30.81420554156629
19,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,181.73684210526315,144.40715668063268,19,33.12927382604854
19,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,281.95,108.04749199456593,20,24.160153689821374
19,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,190.95,120.0712398186133,20,26.848745437709884
19,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,317.57894736842104,182.89867133636642,19,41.95983290858318
19,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,195.7,179.6192171174753,20,40.16407795399686
20,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,357.95,104.88865023141646,20,23.453815198564623
20,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,305.85,162.22864793410045,20,36.27542846785294
20,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,417.2,191.0857068658487,20,42.72806300806359
20,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,287.2,128.1251854940891,20,28.64966243945532
20,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,375.75,82.87522326714388,20,18.531463287580593
20,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,332.85,116.80180018439694,20,26.117676510665902
20,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,445.8421052631579,191.2259463909106,19,43.87024082636345
20,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,406.1,195.1940734648198,20,43.6467217072425
21,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,247.1,147.77468624475858,20,33.04342437969833
21,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,208.6315789473684,151.1523185128593,19,34.67672007786451
21,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,315,114.6729904416995,20,25.64166018108237
21,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,221.05,150.40663304242236,20,33.631945574972235
21,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,287.3,165.0397400309201,20,36.90400776980305
21,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,306.75,185.22585786291458,20,41.41776093721909
21,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,250.68421052631578,213.35964749991163,19,48.94806010955659
21,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,241.42105263157896,179.17629921066685,19,41.10586217562649
22,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,334.57894736842104,384.8145752306447,19,88.28251818062685
22,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,219.85,105.31120548165804,20,23.548301424943585
22,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,254.3684210526316,119.11395595363281,19,27.32661561932844
22,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,170.73684210526315,103.64031932348378,19,23.776719916176393
22,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,296.4,87.49039044976672,20,19.563446042367676
22,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,272.85,258.12793135840303,20,57.71916014087888
22,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,251.8,107.42027643547415,20,24.0199040271539
22,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,233.78947368421052,152.08059959090713,19,34.88968236262301
23,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,225.2,152.07636585818184,20,34.005309183002275
23,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,239.3,171.1475509919038,20,38.26975582005085
23,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,240.7,139.89774461144262,20,31.28208668500906
23,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,242.21052631578948,209.15081718101266,19,47.98248821320971
23,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,365.8,321.5152611586186,20,71.8929979754269
23,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,285.15,182.0110682001741,20,40.69891211529396
23,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,334.5,145.42225269520264,20,32.51740424676251
23,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,273.25,148.7264797857923,20,33.256251885527995
24,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,391.6,393.9021251662985,20,88.07919283534741
24,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,276,120.29085122688628,19,27.596613912130678
24,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,381.05,218.49761530675076,20,48.85755207474932
24,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,280.55555555555554,174.85127200069618,18,41.212840043595264
24,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,455.7894736842105,273.1868670479703,19,62.67336558760968
24,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,354.25,242.78989725795083,20,54.28947145189678
24,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,483.5263157894737,338.83105728388733,19,77.73317566492136
24,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,290.55,237.85432848478365,20,53.185844723454075
27,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,312.25,116.04303874901443,20,25.948012295843842
27,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,328.85,62.0570832294539,20,13.876385658642109
27,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,315.95,140.2143002692664,20,31.352870681964674
27,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,297.05,57.679217273322614,20,12.897465071212942
27,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,402.35,98.85623532766101,20,22.10492621923662
27,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,332.25,67.30752284536214,20,15.050419647934982
27,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,394,124.36110409017087,20,27.80798825025492
27,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,389.94736842105266,137.2226389178511,19,31.481032410993915
28,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,156.05,124.50511509255564,20,27.840190089338943
28,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,298.9,401.27951932733737,20,89.7288283194367
28,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,296,175.04189974593703,19,40.15736588831144
28,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,175.95,133.41327756853494,20,29.832115774429198
28,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,236.8,134.8931741084501,20,30.1630307007209
28,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,209.31578947368422,127.52518384468176,19,29.25628363870597
28,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,229.94736842105263,111.55988610219403,19,25.593593140651127
28,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,282.4736842105263,106.8328748929595,19,24.509142395070214
29,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,326.75,62.12794523358525,20,13.892230884468066
29,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,274.25,54.452176023408015,20,12.17587671111245
29,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,392.5263157894737,168.23342527606385,19,38.5953947212665
29,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,314.2105263157895,99.61457889026777,19,22.853151720317747
29,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,396.35,89.73779054908573,20,20.065979981839387
29,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,364.75,93.5627428098667,20,20.921265308419162
29,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,391.5,92.43916918709297,20,20.670026608594384
29,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,367.55,155.65869377380892,20,34.806342056706
30,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,415.4,146.12157879476146,20,32.67377831646784
30,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,346.35,138.15905212547793,20,30.893303225950543
30,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,480.15,249.00523668135344,20,55.67926359729304
30,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,333.35,151.16260850662215,20,33.80098682769951
30,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,401.25,139.54243836648104,20,31.20263779335263
30,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,406.7,131.09502379250668,20,29.31373847119972
30,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,538.7,198.38137115428108,20,44.35942313705884
30,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,507.4,216.87454535065342,20,48.4946225993422
32,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,158.3,86.66153156176955,20,19.37810756063602
32,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,168.75,140.0533263101106,20,31.31687581043671
32,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,118.9,108.79188243711259,20,24.326604452954925
32,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,161.2,112.6090582502136,20,25.18015091297111
32,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,209.7,121.61851486469787,20,27.194726656003308
32,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,188.95,92.06718084895228,20,20.586847487502407
32,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,274.55,201.26350232573478,20,45.003887259002994
32,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,192.5,192.64106246428466,20,43.07585109279236
34,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,243.65,118.63623081992235,20,26.527867670770195
34,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,322.25,102.26224029168188,20,22.866532082361857
34,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,288.1666666666667,99.56921919832808,18,23.468690030862522
34,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,279.7894736842105,137.21174996145695,19,31.478534313071666
34,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,273.75,114.18584804929567,20,25.532731830668688
34,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,296.27777777777777,73.62688571882961,18,17.354023389810465
34,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,367.72222222222223,135.878321672935,18,32.02682755705979
34,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,340.6666666666667,161.904111054879,18,38.161164942961605
35,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,290.05,96.34230365568497,20,21.542794008303808
35,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,287.95,81.90718431313131,20,18.3150031969766
35,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,305.5,134.830758113026,16,33.7076895282565
35,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,283.63157894736844,137.76800569004715,19,31.606148129265893
35,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,300.05,104.78472920079629,20,23.43057774968877
35,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,282.65,130.46083300120546,20,29.17192909919433
35,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,384.6666666666667,123.38366752437175,18,29.081809331383223
35,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,285.3157894736842,104.65395497733309,19,24.009263883581596
37,Global Congruent,2,Global,Congruent Stimuli with Target,Congruent,Critical,217.52631578947367,151.60415137274538,19,34.78037764500211
37,Global Congruent,6,Global,Congruent Stimuli with Target,Congruent,Critical,260.8,153.73511053278077,20,34.376215767974166
37,Global Incongruent at 2,2,Global,Incongruent Stimuli with Target,Incongruent at 2,Critical,229.8421052631579,163.58187320044382,19,37.528255488201
37,Global Incongruent at 6,6,Global,Incongruent Stimuli with Target,Incongruent at 6,Critical,201.05,145.1777404280335,20,32.46272964169023
37,Local Congruent,2,Local,Congruent Stimuli with Target,Congruent,Critical,360.6,208.7121916596355,20,46.66946482839096
37,Local Congruent,6,Local,Congruent Stimuli with Target,Congruent,Critical,220.95,140.05994017600202,20,31.318354715809434
37,Local Incongruent at 2,2,Local,Incongruent Stimuli with Target,Incongruent at 2,Critical,373.85,259.72176914617893,20,58.07555310473636
37,Local Incongruent at 6,6,Local,Incongruent Stimuli with Target,Incongruent at 6,Critical,279.9,238.18588495012395,20,53.25998300294212
